Дата, дд.мм.гг	 Время, чч:мм:сс	               + мкс	  Время со старта, с	        Номер каналa	Тип информации  (АЭ)	      Амплитуда, АЦП	       Амплитуда, дБ	      Амплитуда, мкВ	  Ампл./Выбросы, мкВ	   Энергия*1e-24, Дж	         Энергия, дБ	      Энергия, MARSE	   Длительность, мкс	Время нарастания,мкс	      Число выбросов	Выбросы/Длительн,кГц	    Аппаратные флаги
06.10.23	            11:57:24	              349589	                  11	                  09	                (АЭ)	                  25	                37.7	                76.5	                12.7	            41769438	                76.2	           6462928.0	                 427	                 425	                   6	                  14	                 ---
06.10.23	            11:57:24	              349835	                  11	                  11	                (АЭ)	                  31	                39.5	                94.8	                94.8	            26736614	                74.3	           5170746.0	                   4	                   1	                   1	                 250	                 ---
06.10.23	            11:57:24	              349718	                  11	                  13	                (АЭ)	                  24	                37.3	                73.4	                14.7	            34870687	                75.4	           5905140.8	                 293	                   1	                   5	                  17	                 ---
06.10.23	            11:57:24	              350650	                  11	                  12	                (АЭ)	                  21	                36.2	                64.2	                64.2	            17619599	                72.5	           4197570.6	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:24	              350774	                  11	                  11	                (АЭ)	                  22	                36.6	                67.3	                67.3	            20336353	                73.1	           4509584.5	                   2	                   1	                   1	                 500	                 ---
06.10.23	            11:57:24	              351077	                  11	                  09	                (АЭ)	                  23	                36.9	                70.4	                70.4	            13909421	                71.4	           3729533.7	                   2	                   1	                   1	                 500	                 ---
06.10.23	            11:57:24	              350944	                  11	                  14	                (АЭ)	                  21	                36.2	                64.2	                32.1	            30495545	                74.8	           5522277.2	                 278	                   1	                   2	                   7	                 ---
06.10.23	            11:57:24	              351649	                  11	                  09	                (АЭ)	                  23	                36.9	                70.4	                70.4	            14661975	                71.7	           3829095.8	                   2	                   1	                   1	                 500	                 ---
06.10.23	            11:57:24	              352512	                  11	                  13	                (АЭ)	                  26	                38.0	                79.5	                79.5	            15575108	                71.9	           3946531.2	                   4	                   1	                   1	                 250	                 ---
06.10.23	            11:57:24	              310313	                  11	                  02	                (АЭ)	                2603	                78.0	              7962.7	                 3.1	        718221719621	               118.6	         847479627.9	               32000	                 943	                2606	                  81	                 -D-
06.10.23	            11:57:24	              310410	                  11	                  03	                (АЭ)	                3265	                80.0	              9987.8	                 4.7	        619123800737	               117.9	         786844203.6	               32000	                 150	                2118	                  66	                 -D-
06.10.23	            11:57:24	              310428	                  11	                  08	                (АЭ)	                4654	                83.1	             14236.8	                 5.4	       1159277621750	               120.6	        1076697553.5	               32000	                 154	                2635	                  82	                 -D-
06.10.23	            11:57:24	              310338	                  11	                  01	                (АЭ)	                2696	                78.3	              8247.2	                 3.6	        748870981956	               118.7	         865373319.4	               32000	                 717	                2320	                  72	                 -D-
06.10.23	            11:57:24	              310461	                  11	                  04	                (АЭ)	                5026	                83.7	             15374.8	                 6.1	       1122877947748	               120.5	        1059659354.6	               32000	                 178	                2514	                  78	                 -D-
06.10.23	            11:57:24	              342376	                  11	                  02	                (АЭ)	                  33	                40.1	               100.9	                 3.0	           270340703	                84.3	          16442040.7	                3101	                1638	                  34	                  10	                 ---
06.10.23	            11:57:24	              342508	                  11	                  04	                (АЭ)	                  43	                42.4	               131.5	                 2.4	           402839826	                86.1	          20070870.1	                3653	                2156	                  54	                  14	                 ---
06.10.23	            11:57:24	              342403	                  11	                  07	                (АЭ)	                  37	                41.1	               113.2	                 1.8	           453883210	                86.6	          21304535.0	                4600	                1154	                  64	                  13	                 ---
06.10.23	            11:57:24	              346790	                  11	                  04	                (АЭ)	                  28	                38.7	                85.7	                17.1	            40259559	                76.0	           6345042.1	                 115	                 113	                   5	                  43	                 ---
06.10.23	            11:57:24	              346494	                  11	                  02	                (АЭ)	                  28	                38.7	                85.7	                21.4	            71777724	                78.6	           8472173.5	                 841	                 187	                   4	                   4	                 ---
