dset Тип Время,мкс Время,чч:мм:сс +мкс Номерканалa Амплитуда,дБ Энергия*1e-24,Дж Энергия,дБ Длительность,мкс Времянарастания,мкс Числовыбросов Выбросы/Длительн,кГц
0 le 11:57:24.310218 11:57:24 310218 6 89.6 857657258072 119.3 32000 34 2177 68
1 ht 11:57:24.310275 11:57:24 310275 15 90.1 1219749625749 120.9 32000 65 2508 78
2 ht 11:57:24.310313 11:57:24 310313 2 78.0 718221719621 118.6 32000 943 2606 81
3 ht 11:57:24.310316 11:57:24 310316 10 84.4 809455862069 119.1 32000 104 2326 72
4 ev 11:57:24.310338 11:57:24 310338 1 78.3 748870981956 118.7 32000 717 2320 72
5 ev 11:57:24.310357 11:57:24 310357 9 78.4 675818328640 118.3 32000 651 2404 75
6 ev 11:57:24.310370 11:57:24 310370 7 80.8 720913872220 118.6 32000 123 2372 74
7 ev 11:57:24.310410 11:57:24 310410 3 80.0 619123800737 117.9 32000 150 2118 66
8 ev 11:57:24.310412 11:57:24 310412 11 81.6 691496125575 118.4 32000 160 2359 73
9 ev 11:57:24.310420 11:57:24 310420 13 82.6 707991975220 118.5 32000 162 2501 78
10 ev 11:57:24.310420 11:57:24 310420 14 84.7 1047924608871 120.2 32000 174 2352 73
11 ev 11:57:24.310428 11:57:24 310428 8 83.1 1159277621750 120.6 32000 154 2635 82
12 ev 11:57:24.310461 11:57:24 310461 4 83.7 1122877947748 120.5 32000 178 2514 78
13 ev 11:57:24.310472 11:57:24 310472 12 80.3 676922687756 118.3 32000 800 2380 74
14 le 11:57:24.342269 11:57:24 342269 6 42.6 739376610 88.7 6675 1088 109 16
15 ht 11:57:24.342330 11:57:24 342330 15 41.8 501356784 87.0 4361 148 78 17
16 ht 11:57:24.342370 11:57:24 342370 1 44.4 698330436 88.4 6799 637 93 13
17 ht 11:57:24.342376 11:57:24 342376 2 40.1 270340703 84.3 3101 1638 34 10
18 ev 11:57:24.342403 11:57:24 342403 7 41.1 453883210 86.6 4600 1154 64 13
19 ev 11:57:24.342427 11:57:24 342427 9 41.3 519226797 87.2 5109 1144 64 12
20 ev 11:57:24.342441 11:57:24 342441 10 42.2 457608453 86.6 4314 1822 57 13
21 ev 11:57:24.342444 11:57:24 342444 11 45.0 649834617 88.1 5666 282 83 14
22 ev 11:57:24.342452 11:57:24 342452 14 43.2 706521872 88.5 6531 207 91 13
23 ev 11:57:24.342466 11:57:24 342466 13 43.0 502632344 87.0 5352 1005 69 12
24 ev 11:57:24.342471 11:57:24 342471 3 42.8 648810126 88.1 6059 2709 88 14
25 ev 11:57:24.342482 11:57:24 342482 8 42.4 635001394 88.0 6404 3220 88 13
26 ev 11:57:24.342508 11:57:24 342508 4 42.4 402839826 86.1 3653 2156 54 14
27 ev 11:57:24.342513 11:57:24 342513 12 42.0 455078761 86.6 5293 1950 59 11
28 ev 11:57:24.346494 11:57:24 346494 2 38.7 71777724 78.6 841 187 4 4
29 ev 11:57:24.346790 11:57:24 346790 4 38.7 40259559 76.0 115 113 5 43
30 ev 11:57:24.347287 11:57:24 347287 10 38.7 70328202 78.5 634 3 7 11
31 ev 11:57:24.347421 11:57:24 347421 15 39.8 81284398 79.1 1004 746 7 6
32 ev 11:57:24.347681 11:57:24 347681 7 36.6 32827133 75.2 125 124 3 24
33 ev 11:57:24.348004 11:57:24 348004 4 38.0 100753189 80.0 1484 2 6 4
34 ev 11:57:24.348024 11:57:24 348024 2 36.2 18243202 72.6 1 1 1 1000
35 ev 11:57:24.348185 11:57:24 348185 9 39.5 62154358 77.9 660 2 6 9
36 ev 11:57:24.348382 11:57:24 348382 12 38.3 70962286 78.5 1198 297 5 4
37 ev 11:57:24.348538 11:57:24 348538 7 38.0 34794047 75.4 136 135 2 14
38 ev 11:57:24.348592 11:57:24 348592 13 37.7 48914580 76.9 474 473 3 6
39 ev 11:57:24.348614 11:57:24 348614 2 38.0 30712178 74.9 93 93 2 21
40 ev 11:57:24.348815 11:57:24 348815 11 38.0 49138512 76.9 477 2 3 6
41 ev 11:57:24.349112 11:57:24 349112 15 37.7 37876597 75.8 291 3 2 6
42 ev 11:57:24.349442 11:57:24 349442 3 37.7 44845157 76.5 340 90 3 8
43 ev 11:57:24.349496 11:57:24 349496 10 36.9 22006531 73.4 3 1 2 666
44 ev 11:57:24.349549 11:57:24 349549 8 36.2 19434168 72.9 1 1 1 1000
45 ev 11:57:24.349556 11:57:24 349556 14 37.7 40095329 76.0 284 283 3 10
46 ev 11:57:24.349580 11:57:24 349580 6 38.3 38629338 75.9 71 2 2 28
47 ev 11:57:24.349589 11:57:24 349589 9 37.7 41769438 76.2 427 425 6 14
48 ev 11:57:24.349718 11:57:24 349718 13 37.3 34870687 75.4 293 1 5 17
49 ev 11:57:24.349835 11:57:24 349835 11 39.5 26736614 74.3 4 1 1 250
50 ev 11:57:24.350007 11:57:24 350007 2 36.6 16338236 72.1 1 1 1 1000
51 ev 11:57:24.350050 11:57:24 350050 7 36.9 18705102 72.7 1 1 1 1000
52 ev 11:57:24.350075 11:57:24 350075 1 36.9 47612163 76.8 338 1 4 11
53 ev 11:57:24.350151 11:57:24 350151 8 38.3 86979643 79.4 1512 1015 6 3
54 ev 11:57:24.350228 11:57:24 350228 15 38.0 15318798 71.9 3 1 1 333
55 ev 11:57:24.350267 11:57:24 350267 6 37.7 38377426 75.8 313 313 4 12
56 ev 11:57:24.350650 11:57:24 350650 12 36.2 17619599 72.5 1 1 1 1000
57 ev 11:57:24.350683 11:57:24 350683 4 36.9 19149036 72.8 1 1 1 1000
58 ev 11:57:24.350774 11:57:24 350774 11 36.6 20336353 73.1 2 1 1 500
59 ev 11:57:24.350805 11:57:24 350805 7 36.9 19664557 72.9 1 1 1 1000
60 ev 11:57:24.350944 11:57:24 350944 14 36.2 30495545 74.8 278 1 2 7
61 ev 11:57:24.350969 11:57:24 350969 2 37.7 14704085 71.7 3 2 2 666
62 ev 11:57:24.350980 11:57:24 350980 3 38.7 41278342 76.2 173 170 3 17
63 ev 11:57:24.351034 11:57:24 351034 1 37.3 37417878 75.7 373 348 3 8
64 ev 11:57:24.351077 11:57:24 351077 9 36.9 13909421 71.4 2 1 1 500
65 ev 11:57:24.351143 11:57:24 351143 6 36.6 40326841 76.1 517 1 4 7
66 ev 11:57:24.351366 11:57:24 351366 15 36.2 14955903 71.7 1 1 1 1000
67 ev 11:57:24.351649 11:57:24 351649 9 36.9 14661975 71.7 2 1 1 500
68 ev 11:57:24.351970 11:57:24 351970 15 36.2 17610896 72.5 1 1 1 1000
69 ev 11:57:24.352108 11:57:24 352108 3 36.2 16806126 72.3 1 1 1 1000
70 ev 11:57:24.352227 11:57:24 352227 1 36.2 27422447 74.4 256 1 2 7
71 ev 11:57:24.352512 11:57:24 352512 13 38.0 15575108 71.9 4 1 1 250
72 ev 11:57:24.352814 11:57:24 352814 7 36.9 15656240 71.9 3 1 1 333
73 ev 11:57:24.353161 11:57:24 353161 10 36.6 12513239 71.0 2 2 1 500
74 ev 11:57:24.353456 11:57:24 353456 13 36.2 14818999 71.7 1 1 1 1000
75 ev 11:57:24.354529 11:57:24 354529 3 36.2 15226343 71.8 1 1 1 1000
76 ev 11:57:24.354927 11:57:24 354927 11 36.2 11166091 70.5 1 1 1 1000
77 le 11:57:27.937796 11:57:27 937796 6 87.0 609999022304 117.9 32000 34 2108 65
78 ht 11:57:27.937848 11:57:27 937848 15 88.7 962817022758 119.8 32000 69 2467 77
79 ht 11:57:27.937894 11:57:27 937894 10 83.3 642437981551 118.1 32000 102 2259 70
80 ht 11:57:27.937896 11:57:27 937896 2 78.2 529326694194 117.2 32000 774 2561 80
81 ev 11:57:27.937921 11:57:27 937921 1 75.0 522766850494 117.2 32000 1016 2278 71
82 ev 11:57:27.937948 11:57:27 937948 7 78.3 554939965738 117.4 32000 124 2296 71
83 ev 11:57:27.937963 11:57:27 937963 9 76.0 474032831923 116.8 32000 652 2296 71
84 ev 11:57:27.937987 11:57:27 937987 3 78.1 426648005702 116.3 32000 153 2051 64
85 ev 11:57:27.937989 11:57:27 937989 11 80.2 521111518741 117.2 32000 159 2281 71
86 ev 11:57:27.937997 11:57:27 937997 13 78.6 492897268872 116.9 32000 165 2382 74
87 ev 11:57:27.938000 11:57:27 938000 8 82.0 927829374653 119.7 32000 164 2531 79
88 ev 11:57:27.938000 11:57:27 938000 14 83.5 793608349326 119.0 32000 171 2288 71
89 ev 11:57:27.938040 11:57:27 938040 4 82.9 833176343220 119.2 32000 177 2447 76
90 ev 11:57:27.938100 11:57:27 938100 12 75.9 497207675876 117.0 32000 320 2291 71
91 le 11:57:27.969871 11:57:27 969871 6 41.3 551485818 87.4 5737 512 75 13
92 ht 11:57:27.969927 11:57:27 969927 15 40.8 312362614 84.9 3517 76 36 10
93 ht 11:57:27.969953 11:57:27 969953 2 37.7 54558639 77.4 595 596 4 6
94 ht 11:57:27.969967 11:57:27 969967 1 42.0 522342099 87.2 5527 256 74 13
95 ev 11:57:27.970005 11:57:27 970005 9 40.3 314935352 85.0 3851 854 36 9
96 ev 11:57:27.970020 11:57:27 970020 10 40.8 355738318 85.5 4314 1080 39 9
97 ev 11:57:27.970032 11:57:27 970032 8 40.3 404306379 86.1 4790 1 53 11
98 ev 11:57:27.970049 11:57:27 970049 3 42.4 506435351 87.0 6057 2709 67 11
99 ev 11:57:27.970055 11:57:27 970055 7 39.5 312843231 85.0 4113 287 34 8
100 ev 11:57:27.970057 11:57:27 970057 13 40.3 265718234 84.2 3459 992 30 8
101 ev 11:57:27.970060 11:57:27 970060 14 41.5 440077192 86.4 4911 559 52 10
102 ev 11:57:27.970120 11:57:27 970120 11 41.5 355613298 85.5 3819 2050 38 9
103 ev 11:57:27.970161 11:57:27 970161 4 40.6 251779617 84.0 2666 2082 30 11
104 ev 11:57:27.970263 11:57:27 970263 12 41.3 315048488 85.0 4483 357 34 7
105 ev 11:57:27.971240 11:57:27 971240 2 39.0 107734008 80.3 1527 351 13 8
106 ev 11:57:27.973419 11:57:27 973419 4 37.3 39433827 76.0 320 318 2 6
107 ev 11:57:27.974128 11:57:27 974128 13 38.0 59452670 77.7 816 813 6 7
108 ev 11:57:27.974132 11:57:27 974132 2 36.2 20885561 73.2 1 1 1 1000
109 ev 11:57:27.974269 11:57:27 974269 15 38.3 55137886 77.4 940 939 3 3
110 ev 11:57:27.974424 11:57:27 974424 4 38.7 123538570 80.9 2439 56 13 5
111 ev 11:57:27.974542 11:57:27 974542 11 38.3 52845133 77.2 441 1 7 15
112 ev 11:57:27.974552 11:57:27 974552 9 38.0 45117282 76.5 317 315 3 9
113 ev 11:57:27.974730 11:57:27 974730 2 36.9 22676643 73.6 2 2 1 500
114 ev 11:57:27.975099 11:57:27 975099 7 36.6 44625062 76.5 558 1 3 5
115 ev 11:57:27.975380 11:57:27 975380 12 38.0 55402992 77.4 880 879 3 3
116 ev 11:57:27.975386 11:57:27 975386 8 38.3 49952546 77.0 435 203 4 9
117 ev 11:57:27.975743 11:57:27 975743 15 37.7 26420321 74.2 3 1 1 333
118 ev 11:57:27.975804 11:57:27 975804 14 38.7 81949549 79.1 1086 755 6 5
119 ev 11:57:27.975845 11:57:27 975845 13 36.6 16879210 72.3 1 1 1 1000
120 ev 11:57:27.976251 11:57:27 976251 7 36.6 16911775 72.3 1 1 1 1000
121 ev 11:57:27.976369 11:57:27 976369 6 36.9 110979758 80.5 1596 792 9 5
122 ev 11:57:27.976459 11:57:27 976459 8 36.6 26466548 74.2 131 132 2 15
123 ev 11:57:27.976661 11:57:27 976661 3 38.0 44358833 76.5 699 698 3 4
124 ev 11:57:27.976917 11:57:27 976917 1 37.3 27514808 74.4 206 1 2 9
125 ev 11:57:27.976945 11:57:27 976945 13 36.2 21710825 73.4 1 1 1 1000
126 ev 11:57:27.977126 11:57:27 977126 8 36.2 13626067 71.3 1 1 1 1000
127 ev 11:57:27.977219 11:57:27 977219 9 36.6 15908152 72.0 28 1 2 71
128 ev 11:57:27.977414 11:57:27 977414 11 38.0 17599573 72.5 2 1 1 500
129 ev 11:57:27.977585 11:57:27 977585 2 36.6 12871081 71.1 1 1 1 1000
130 ev 11:57:27.977730 11:57:27 977730 8 36.6 36325075 75.6 402 1 2 4
131 ev 11:57:27.977851 11:57:27 977851 1 36.6 41846453 76.2 380 1 4 10
132 ev 11:57:27.977978 11:57:27 977978 13 37.3 13400358 71.3 2 1 1 500
133 ev 11:57:27.978062 11:57:27 978062 14 36.6 12214819 70.9 2 2 1 500
134 ev 11:57:27.978261 11:57:27 978261 4 36.2 12217158 70.9 1 1 1 1000
135 ev 11:57:27.978408 11:57:27 978408 9 36.2 15783881 72.0 1 1 1 1000
136 ev 11:57:27.978742 11:57:27 978742 2 36.2 8844985 69.5 1 1 1 1000
137 ev 11:57:27.978960 11:57:27 978960 1 36.2 12793130 71.1 1 1 1 1000
138 ev 11:57:27.979228 11:57:27 979228 9 37.7 17869639 72.5 3 1 1 333
139 ev 11:57:27.983846 11:57:27 983846 6 36.2 9902041 70.0 1 1 1 1000
140 ev 11:57:28.123524 11:57:28 123524 6 38.0 5677559 67.5 2 2 1 500
141 ev 11:57:28.124429 11:57:28 124429 6 37.3 6592377 68.2 1 1 1 1000
142 ev 11:57:28.125335 11:57:28 125335 6 43.7 20209835 73.1 22 3 2 90
143 ev 11:57:28.125449 11:57:28 125449 15 38.0 9955567 70.0 2 1 1 500
144 ev 11:57:28.125517 11:57:28 125517 10 36.6 8916104 69.5 1 1 1 1000
145 ev 11:57:28.125683 11:57:28 125683 14 37.3 18351752 72.6 59 1 4 67
146 ev 11:57:28.125745 11:57:28 125745 13 36.6 9002570 69.5 1 1 1 1000
147 ev 11:57:28.126149 11:57:28 126149 9 36.2 13447802 71.3 1 1 1 1000
148 ev 11:57:28.126943 11:57:28 126943 6 39.8 17307891 72.4 132 131 2 15
149 ev 11:57:28.126987 11:57:28 126987 8 36.2 13473348 71.3 1 1 1 1000
150 ev 11:57:28.130730 11:57:28 130730 6 36.2 8220258 69.1 1 1 1 1000
151 le 11:57:31.535596 11:57:31 535596 6 89.9 869591269206 119.4 32000 33 2109 65
152 ht 11:57:31.535655 11:57:31 535655 15 90.3 1198679173846 120.8 32000 65 2521 78
153 ht 11:57:31.535690 11:57:31 535690 2 77.0 686784185187 118.4 32000 783 2560 80
154 ht 11:57:31.535696 11:57:31 535696 10 85.0 895636809614 119.5 32000 99 2346 73
155 ev 11:57:31.535715 11:57:31 535715 1 78.1 725368167902 118.6 32000 719 2288 71
156 ev 11:57:31.535749 11:57:31 535749 7 80.5 760725032726 118.8 32000 122 2334 72
157 ev 11:57:31.535756 11:57:31 535756 9 78.2 703911579645 118.5 32000 629 2319 72
158 ev 11:57:31.535788 11:57:31 535788 3 78.4 604951368804 117.8 32000 152 2099 65
159 ev 11:57:31.535791 11:57:31 535791 11 81.8 743693467201 118.7 32000 156 2356 73
160 ev 11:57:31.535798 11:57:31 535798 13 79.6 709624489869 118.5 32000 1073 2451 76
161 ev 11:57:31.535801 11:57:31 535801 14 86.3 1097464990588 120.4 32000 168 2322 72
162 ev 11:57:31.535806 11:57:31 535806 8 82.3 1116938699215 120.5 32000 306 2633 82
163 ev 11:57:31.535839 11:57:31 535839 4 82.1 1001316800228 120.0 32000 190 2452 76
164 ev 11:57:31.535893 11:57:31 535893 12 78.0 706197003039 118.5 32000 326 2363 73
165 le 11:57:31.567650 11:57:31 567650 6 43.5 971392291 89.9 8780 689 118 13
166 ht 11:57:31.567720 11:57:31 567720 15 41.8 685516531 88.4 6877 83 89 12
167 ht 11:57:31.567756 11:57:31 567756 2 40.3 311827162 84.9 3104 1690 48 15
168 ht 11:57:31.567769 11:57:31 567769 1 43.9 917734994 89.6 8177 313 123 15
169 ev 11:57:31.567801 11:57:31 567801 9 43.7 559375091 87.5 5360 1773 79 14
170 ev 11:57:31.567847 11:57:31 567847 3 43.5 762639331 88.8 6671 651 108 16
171 ev 11:57:31.567856 11:57:31 567856 13 42.4 674743935 88.3 7146 1233 99 13
172 ev 11:57:31.567859 11:57:31 567859 14 45.1 657432395 88.2 4992 2611 91 18
173 ev 11:57:31.567889 11:57:31 567889 10 41.5 550581013 87.4 4455 262 75 16
174 ev 11:57:31.567891 11:57:31 567891 8 42.4 754669300 88.8 7640 174 106 13
175 ev 11:57:31.567893 11:57:31 567893 4 42.2 389570571 85.9 3746 2151 52 13
176 ev 11:57:31.567921 11:57:31 567921 11 44.4 584946099 87.7 4755 497 89 18
177 ev 11:57:31.568000 11:57:31 568000 12 43.0 490892246 86.9 4918 421 66 13
178 ev 11:57:31.568112 11:57:31 568112 7 40.8 577334565 87.6 6217 1293 61 9
179 ev 11:57:31.571780 11:57:31 571780 2 39.8 95196720 79.8 1132 954 9 7
180 ev 11:57:31.572171 11:57:31 572171 4 40.1 138634933 81.4 1949 114 12 6
181 ev 11:57:31.573300 11:57:31 573300 10 39.5 38502072 75.9 246 3 2 8
182 ev 11:57:31.573454 11:57:31 573454 12 38.7 93997987 79.7 1034 607 7 6
183 ev 11:57:31.573454 11:57:31 573454 14 39.3 183716001 82.6 2677 905 13 4
184 ev 11:57:31.573480 11:57:31 573480 11 36.2 29200427 74.7 1 1 1 1000
185 ev 11:57:31.573519 11:57:31 573519 2 36.2 22962898 73.6 1 1 1 1000
186 ev 11:57:31.573818 11:57:31 573818 9 37.3 67808804 78.3 848 1 7 8
187 ev 11:57:31.574087 11:57:31 574087 10 36.9 45078728 76.5 357 3 2 5
188 ev 11:57:31.574145 11:57:31 574145 11 39.0 91247077 79.6 1127 323 7 6
189 ev 11:57:31.574403 11:57:31 574403 2 36.2 21304884 73.3 1 1 1 1000
190 ev 11:57:31.574660 11:57:31 574660 4 36.6 42936261 76.3 396 2 4 10
191 ev 11:57:31.575032 11:57:31 575032 12 37.3 39517673 76.0 187 187 3 16
192 ev 11:57:31.575158 11:57:31 575158 3 40.1 36779115 75.7 5 1 1 200
193 ev 11:57:31.575279 11:57:31 575279 9 37.7 33503888 75.3 381 1 2 5
194 ev 11:57:31.575281 11:57:31 575281 2 36.2 15532905 71.9 1 1 1 1000
195 ev 11:57:31.575606 11:57:31 575606 15 37.3 34311934 75.4 170 169 3 17
196 ev 11:57:31.575777 11:57:31 575777 13 36.6 20947978 73.2 1 1 1 1000
197 ev 11:57:31.575806 11:57:31 575806 12 36.6 19924984 73.0 1 1 1 1000
198 ev 11:57:31.576003 11:57:31 576003 10 37.7 18656816 72.7 2 2 1 500
199 ev 11:57:31.576008 11:57:31 576008 4 36.9 16778895 72.2 2 1 1 500
200 ev 11:57:31.576184 11:57:31 576184 8 39.8 56249311 77.5 672 206 4 5
201 ev 11:57:31.576321 11:57:31 576321 3 36.9 30568162 74.9 3 1 1 333
202 ev 11:57:31.576459 11:57:31 576459 12 37.3 11882992 70.7 2 2 1 500
203 ev 11:57:31.576560 11:57:31 576560 7 36.2 14935035 71.7 1 1 1 1000
204 ev 11:57:31.576572 11:57:31 576572 9 37.7 42732449 76.3 459 458 3 6
205 ev 11:57:31.576760 11:57:31 576760 1 36.2 22159999 73.5 1 1 1 1000
206 ev 11:57:31.576806 11:57:31 576806 11 36.2 28696136 74.6 30 1 2 66
207 ev 11:57:31.577090 11:57:31 577090 4 36.6 16590990 72.2 2 2 1 500
208 ev 11:57:31.577272 11:57:31 577272 6 36.2 29874562 74.8 286 1 2 6
209 ev 11:57:31.577625 11:57:31 577625 7 36.2 13463897 71.3 1 1 1 1000
210 ev 11:57:31.577693 11:57:31 577693 1 37.7 51182628 77.1 745 743 5 6
211 ev 11:57:31.577707 11:57:31 577707 3 36.2 20079388 73.0 1 1 1 1000
212 ev 11:57:31.577775 11:57:31 577775 15 36.2 15110868 71.8 1 1 1 1000
213 ev 11:57:31.578046 11:57:31 578046 11 36.6 20277211 73.1 242 241 2 8
214 ev 11:57:31.578098 11:57:31 578098 6 36.6 32270531 75.1 269 1 2 7
215 ev 11:57:31.578528 11:57:31 578528 2 37.3 13080789 71.2 2 2 1 500
216 ev 11:57:31.578872 11:57:31 578872 8 36.2 12189553 70.9 3 1 2 666
217 ev 11:57:31.578970 11:57:31 578970 10 36.6 12454940 71.0 1 1 1 1000
218 ev 11:57:31.579643 11:57:31 579643 8 36.6 14748254 71.7 1 1 1 1000
219 ev 11:57:31.579668 11:57:31 579668 9 36.2 11787823 70.7 1 1 1 1000
220 ev 11:57:31.579726 11:57:31 579726 3 36.9 16590522 72.2 2 1 1 500
221 ev 11:57:31.580105 11:57:31 580105 1 37.3 20857394 73.2 358 356 2 5
222 ev 11:57:34.572946 11:57:34 572946 15 39.5 4529545 66.6 2 1 1 500
223 ev 11:57:34.573200 11:57:34 573200 14 36.9 4337711 66.4 1 1 1 1000
224 ev 11:57:34.582769 11:57:34 582769 15 42.6 6582271 68.2 2 1 1 500
225 ev 11:57:34.583023 11:57:34 583023 14 40.1 6176704 67.9 1 2 1 1000
226 ev 11:57:34.584726 11:57:34 584726 6 41.5 9952292 70.0 2 2 1 500
227 ev 11:57:34.584790 11:57:34 584790 15 43.2 10139261 70.1 2 1 1 500
228 ev 11:57:34.584875 11:57:34 584875 10 38.0 8491260 69.3 4 4 2 500
229 ev 11:57:34.585043 11:57:34 585043 14 41.3 11298972 70.5 35 2 3 85
230 ev 11:57:34.585325 11:57:34 585325 4 37.3 9548691 69.8 1 1 1 1000
231 ev 11:57:34.593629 11:57:34 593629 6 43.5 17585536 72.5 30 2 3 100
232 ev 11:57:34.593686 11:57:34 593686 15 44.5 14712601 71.7 15 6 3 200
233 ev 11:57:34.593773 11:57:34 593773 10 39.0 13410090 71.3 18 9 4 222
234 ev 11:57:34.593877 11:57:34 593877 7 36.6 8725111 69.4 1 1 1 1000
235 ev 11:57:34.593933 11:57:34 593933 8 39.3 26485264 74.2 493 486 4 8
236 ev 11:57:34.593940 11:57:34 593940 14 45.3 25369722 74.0 39 8 5 128
237 ev 11:57:34.593942 11:57:34 593942 11 36.9 10572526 70.2 1 1 1 1000
238 ev 11:57:34.593970 11:57:34 593970 13 37.3 9410850 69.7 1 1 1 1000
239 ev 11:57:34.594171 11:57:34 594171 4 37.7 25027507 74.0 458 58 4 8
240 ev 11:57:34.604204 11:57:34 604204 15 36.6 4186582 66.2 1 1 1 1000
241 ev 11:57:34.616121 11:57:34 616121 15 36.2 3790280 65.8 1 1 1 1000
242 ev 11:57:34.653003 11:57:34 653003 15 37.3 4247314 66.3 1 1 1 1000
243 le 11:57:34.684889 11:57:34 684889 6 42.4 11562862 70.6 11 2 2 181
244 ht 11:57:34.684946 11:57:34 684946 15 45.4 14691265 71.7 7 6 2 285
245 ht 11:57:34.685034 11:57:34 685034 10 36.2 9202171 69.6 1 1 1 1000
246 ht 11:57:34.685137 11:57:34 685137 7 37.7 6295922 68.0 1 1 1 1000
247 ev 11:57:34.685192 11:57:34 685192 8 39.0 22693487 73.6 486 2 4 8
248 ev 11:57:34.685201 11:57:34 685201 14 43.7 15779202 72.0 25 7 3 120
249 ev 11:57:34.685202 11:57:34 685202 11 36.9 7667400 68.8 1 1 1 1000
250 ev 11:57:34.685255 11:57:34 685255 4 36.9 21941401 73.4 234 234 2 8
251 ev 11:57:34.686119 11:57:34 686119 14 36.2 10875625 70.4 1 1 1 1000
252 le 11:57:35.719932 11:57:35 719932 6 91.6 1321748983117 121.2 32000 37 2151 67
253 ht 11:57:35.719989 11:57:35 719989 15 89.3 1589365156917 122.0 32000 72 2554 79
254 ht 11:57:35.720035 11:57:35 720035 10 84.2 1174445076643 120.7 32000 101 2319 72
255 ht 11:57:35.720038 11:57:35 720038 2 77.6 915995455486 119.6 32000 936 2618 81
256 ev 11:57:35.720055 11:57:35 720055 1 79.1 1072248673754 120.3 32000 697 2309 72
257 ev 11:57:35.720075 11:57:35 720075 9 81.0 979262152799 119.9 32000 712 2361 73
258 ev 11:57:35.720091 11:57:35 720091 7 81.5 1065916058195 120.3 32000 119 2410 75
259 ev 11:57:35.720130 11:57:35 720130 3 80.5 894888455232 119.5 32000 149 2108 65
260 ev 11:57:35.720133 11:57:35 720133 11 82.3 967907754758 119.9 32000 154 2323 72
261 ev 11:57:35.720138 11:57:35 720138 13 79.9 915858336702 119.6 32000 168 2497 78
262 ev 11:57:35.720139 11:57:35 720139 8 83.2 1501081128255 121.8 32000 312 2623 81
263 ev 11:57:35.720140 11:57:35 720140 14 86.2 1492111792472 121.7 32000 213 2338 73
264 ev 11:57:35.720171 11:57:35 720171 4 82.2 1479633981074 121.7 32000 386 2523 78
265 ev 11:57:35.720191 11:57:35 720191 12 79.2 979371882075 119.9 32000 368 2422 75
266 le 11:57:35.751964 11:57:35 751964 6 44.2 1264290043 91.0 8805 3657 168 19
267 ht 11:57:35.752022 11:57:35 752022 15 43.9 929541626 89.7 6237 1777 137 21
268 ht 11:57:35.752077 11:57:35 752077 10 44.0 851566893 89.3 7136 1141 118 16
269 ht 11:57:35.752096 11:57:35 752096 2 41.8 567849975 87.5 5224 3102 82 15
270 ev 11:57:35.752100 11:57:35 752100 1 44.2 1061816724 90.3 9002 650 160 17
271 ev 11:57:35.752127 11:57:35 752127 7 42.2 754620546 88.8 5397 521 102 18
272 ev 11:57:35.752141 11:57:35 752141 9 43.5 1010788967 90.0 10093 1153 133 13
273 ev 11:57:35.752170 11:57:35 752170 3 45.0 1163947567 90.7 9333 669 150 16
274 ev 11:57:35.752171 11:57:35 752171 8 43.9 909467292 89.6 6920 1587 137 19
275 ev 11:57:35.752172 11:57:35 752172 14 44.2 1078253778 90.3 9320 206 133 14
276 ev 11:57:35.752195 11:57:35 752195 13 42.4 928792255 89.7 8905 1481 135 15
277 ev 11:57:35.752205 11:57:35 752205 11 43.2 1024333809 90.1 7610 3346 137 18
278 ev 11:57:35.752227 11:57:35 752227 4 43.0 808205132 89.1 7401 1034 123 16
279 ev 11:57:35.752235 11:57:35 752235 12 42.6 687153302 88.4 5232 1945 100 19
280 ev 11:57:35.757862 11:57:35 757862 2 36.6 35026588 75.4 163 162 2 12
281 ev 11:57:35.758098 11:57:35 758098 12 39.8 195798687 82.9 2569 1200 22 8
282 ev 11:57:35.758314 11:57:35 758314 7 40.1 94187201 79.7 946 79 10 10
283 ev 11:57:35.758596 11:57:35 758596 2 38.3 102090605 80.1 1593 666 9 5
284 ev 11:57:35.758796 11:57:35 758796 15 37.7 51279575 77.1 390 389 2 5
285 ev 11:57:35.759870 11:57:35 759870 8 39.5 127807220 81.1 1664 1328 13 7
286 ev 11:57:35.759948 11:57:35 759948 15 37.3 69008566 78.4 977 1 4 4
287 ev 11:57:35.760011 11:57:35 760011 7 36.9 32860914 75.2 164 100 4 24
288 ev 11:57:35.760164 11:57:35 760164 10 37.3 74356637 78.7 1002 87 5 4
289 ev 11:57:35.760701 11:57:35 760701 11 37.7 74378067 78.7 970 1 5 5
290 ev 11:57:35.760900 11:57:35 760900 7 36.2 21684249 73.4 1 1 1 1000
291 ev 11:57:35.761327 11:57:35 761327 6 38.0 79729133 79.0 1115 386 7 6
292 ev 11:57:35.761434 11:57:35 761434 4 36.6 20670987 73.2 1 1 1 1000
293 ev 11:57:35.761688 11:57:35 761688 15 36.9 21402673 73.3 3 1 1 333
294 ev 11:57:35.761706 11:57:35 761706 13 36.9 29425014 74.7 273 271 2 7
295 ev 11:57:35.761714 11:57:35 761714 1 36.2 32363641 75.1 47 1 2 42
296 ev 11:57:35.761767 11:57:35 761767 10 36.9 20104186 73.0 2 2 1 500
297 ev 11:57:35.761968 11:57:35 761968 7 36.2 18511209 72.7 1 1 1 1000
298 ev 11:57:35.762218 11:57:35 762218 11 38.0 15633220 71.9 3 2 1 333
299 ev 11:57:35.762414 11:57:35 762414 1 37.7 54314026 77.3 470 1 3 6
300 ev 11:57:35.762466 11:57:35 762466 12 38.3 36127813 75.6 468 3 2 4
