LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
8 1 4 15 0.37 0.42 0.88 42.2 485
8 4 15 1 0.35 0.85 0.92 44.65 489
4 8 15 1 0.0 0.0 0.0 48.95 493
12 7 8 11 0.085 0.087 0.112 85.9 497
12 11 9 7 0.105 0.183 0.183 40.85 501
12 9 11 8 0.251 0.258 0.27 58.75 505
12 7 8 11 0.082 0.089 0.112 85.325 509
8 9 11 6 0.035 0.076 0.107 41.55 513
12 7 8 11 0.089 0.098 0.122 84.95 517
12 7 8 11 0.07 0.089 0.107 42.55 521
12 11 9 7 0.224 0.239 0.245 53.575 525
12 7 8 11 0.08 0.092 0.109 85.275 529
8 12 9 7 0.087 0.097 0.136 41.05 533
12 11 7 8 0.082 0.115 0.158 92.625 537
12 11 7 9 0.082 0.117 0.171 45.325 541
12 11 7 8 0.08 0.118 0.152 93.15 545
12 11 7 9 0.023 0.073 0.11 47.9 549
12 11 7 8 0.081 0.121 0.156 88.35 553
12 11 8 7 0.094 0.183 0.198 43.05 557
4 15 12 8 0.0 0.0 0.0 45.125 561
9 10 12 15 0.174 0.178 0.197 93.875 565
9 10 12 15 0.148 0.168 0.181 45.25 569
9 10 12 8 0.166 0.169 0.19 94.125 573
9 12 8 10 0.163 0.176 0.187 45.0 577
9 10 12 8 0.228 0.277 0.312 56.4 581
9 10 12 8 0.175 0.18 0.2 92.825 585
9 10 12 8 0.184 0.205 0.243 46.3 589
9 10 12 8 0.172 0.179 0.195 92.025 593
9 10 12 8 0.159 0.188 0.19 46.0 597
