LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
8 1 4 15 0.37 0.42 0.88 42.2 485
8 4 15 1 0.35 0.85 0.92 44.65 489
14 4 8 15 0.0 0.0 0.0 48.625 493
12 7 8 11 0.085 0.087 0.112 85.9 497
12 11 14 9 0.105 0.155 0.183 41.075 501
12 9 11 14 0.251 0.258 0.268 57.375 505
12 7 8 11 0.082 0.089 0.112 85.325 509
8 9 11 6 0.035 0.076 0.107 41.55 513
12 7 8 11 0.089 0.098 0.122 84.95 517
12 7 8 11 0.07 0.089 0.107 42.55 521
12 11 9 7 0.224 0.239 0.245 53.575 525
12 7 8 11 0.08 0.092 0.109 85.275 529
8 12 9 7 0.087 0.097 0.136 41.05 533
12 11 14 7 0.082 0.111 0.115 89.675 537
12 11 7 14 0.082 0.117 0.119 45.475 541
12 11 14 7 0.08 0.108 0.118 91.075 545
12 11 14 7 0.023 0.058 0.073 47.625 549
12 11 14 9 0.38 0.74 1.29 44.125 553
12 11 14 7 0.081 0.117 0.121 86.35 557
12 11 14 8 0.094 0.102 0.183 43.6 561
13 4 15 12 0.0 0.0 0.0 44.7 565
9 14 10 12 0.164 0.174 0.178 92.25 569
9 10 12 15 0.148 0.168 0.181 45.25 573
9 14 10 12 0.155 0.166 0.169 93.275 577
9 14 12 8 0.147 0.163 0.176 45.1 581
9 10 14 12 0.228 0.255 0.277 54.975 585
9 14 10 12 0.165 0.175 0.18 91.7 589
9 14 10 12 0.161 0.184 0.205 46.5 593
9 14 10 12 0.16 0.172 0.179 89.95 597
9 14 10 12 0.15 0.159 0.188 46.85 601
