LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
1 13 4 2 6.2e-05 5.2e-05 4e-06 45.675 397
1 13 2 4 9.8e-05 8.4e-05 1.2e-05 51.375 401
1 8 4 13 0.000178 3e-05 1.3e-05 49.05 405
1 13 2 4 4e-05 5.3e-05 6e-06 90.4 409
1 13 4 15 3.3e-05 5.1e-05 4e-05 43.2 413
1 8 15 4 0.000168 2.9e-05 2.1e-05 48.6 417
7 8 4 12 0.000138 1.2e-05 4e-06 83.475 421
7 12 8 11 6e-06 1.8e-05 6e-06 41.625 425
7 8 4 12 0.000137 1.1e-05 6e-06 84.575 429
7 4 8 11 0.000156 1.4e-05 1e-06 44.525 433
7 8 4 12 0.000139 1e-05 1e-06 88.475 437
7 8 12 4 0.000138 1.1e-05 1e-05 44.375 441
7 8 12 11 0.000222 1e-06 1.1e-05 46.125 445
7 8 4 12 0.000137 1.2e-05 2e-06 89.275 449
7 8 12 4 0.000138 1.3e-05 8e-06 45.4 453
7 8 12 11 0.000222 0.0 1.1e-05 45.375 457
8 1 4 15 3.6e-05 5e-06 5.2e-05 86.675 461
8 4 1 9 3.4e-05 9.1e-05 4.5e-05 40.825 465
8 1 4 15 3.2e-05 1.5e-05 3.7e-05 84.875 469
8 4 1 15 3.9e-05 2.2e-05 2.6e-05 42.475 473
8 1 4 15 0.00038 0.00012 0.00048 87.9 477
8 4 15 12 0.000237 2.8e-05 1.7e-05 60.4 481
8 1 4 15 0.00037 5e-05 0.00046 42.2 485
8 4 15 1 0.00035 0.0005 7e-05 44.65 489
14 4 8 15 0.0 0.0 0.0 48.625 493
12 7 8 11 8.5e-05 2e-06 2.5e-05 85.9 497
12 11 14 9 0.000105 5e-05 2.8e-05 41.075 501
12 9 11 14 0.000251 7e-06 1e-05 57.375 505
12 7 8 11 8.2e-05 7e-06 2.3e-05 85.325 509
8 9 11 6 3.5e-05 4.1e-05 3.1e-05 41.55 513
12 7 8 11 8.9e-05 9e-06 2.4e-05 84.95 517
12 7 8 11 7e-05 1.9e-05 1.8e-05 42.55 521
12 11 9 7 0.000224 1.5e-05 6e-06 53.575 525
12 7 8 11 8e-05 1.2e-05 1.7e-05 85.275 529
8 12 9 7 8.7e-05 1e-05 3.9e-05 41.05 533
12 11 14 7 8.2e-05 2.9e-05 4e-06 89.675 537
12 11 7 14 8.2e-05 3.5e-05 2e-06 45.475 541
12 11 14 7 8e-05 2.8e-05 1e-05 91.075 545
12 11 14 7 2.3e-05 3.5e-05 1.5e-05 47.625 549
12 11 14 9 0.00038 0.00036 0.00055 44.125 553
12 11 14 7 8.1e-05 3.6e-05 4e-06 86.35 557
12 11 14 8 9.4e-05 8e-06 8.1e-05 43.6 561
13 4 15 12 0.0 0.0 0.0 44.7 565
9 14 10 12 0.000164 1e-05 4e-06 92.25 569
9 10 12 15 0.000148 2e-05 1.3e-05 45.25 573
9 14 10 12 0.000155 1.1e-05 3e-06 93.275 577
9 14 12 8 0.000147 1.6e-05 1.3e-05 45.1 581
9 10 14 12 0.000228 2.7e-05 2.2e-05 54.975 585
9 14 10 12 0.000165 1e-05 5e-06 91.7 589
9 14 10 12 0.000161 2.3e-05 2.1e-05 46.5 593
9 14 10 12 0.00016 1.2e-05 7e-06 89.95 597
9 14 10 12 0.00015 9e-06 2.9e-05 46.85 601
